FECHA,DEPARTAMENTO,MUNICIPIO,DIA,HORA,BARRIO,ZONA,CLASE DE SITIO,ARMA EMPLEADA,EDAD,SEXO,ESTADO CIVIL,CLASE DE EMPLEADO,ESCOLARIDAD
01/01/2010 00:00:00,ANTIOQUIA,GIRARDOTA,Viernes,07:50:00 AM,CENTRO,URBANA,VIAS PUBLICAS,CONTUNDENTES,31,FEMENINO,UNION LIBRE,EMPLEADO PARTICULAR,SECUNDARIA
01/01/2010 00:00:00,ANTIOQUIA,ITAGUI,Viernes,03:00:00 AM,EL PROGRESO,URBANA,DENTRO DE LA VIVIENDA,CONTUNDENTES,19,FEMENINO,SOLTERO,AMA DE CASA,SECUNDARIA
01/01/2010 00:00:00,ANTIOQUIA,ITAGUI,Viernes,03:00:00 AM,VDA. LOS GOMEZ,URBANA,VIAS PUBLICAS,CONTUNDENTES,23,FEMENINO,UNION LIBRE,AMA DE CASA,SECUNDARIA
01/01/2010 00:00:00,ANTIOQUIA,LA ESTRELLA,Viernes,03:00:00 PM,-,URBANA,DENTRO DE LA VIVIENDA,CONTUNDENTES,29,FEMENINO,UNION LIBRE,EMPLEADO PARTICULAR,SECUNDARIA
02/04/2010 00:00:00,VALLE,TULUÁ,Jueves,10:40:00 PM,Juan de Lemus y Aguirre,URBANA,VIAS PUBLICAS,ARMA BLANCA,51,MASCULINO,UNION LIBRE,EMPLEADO PARTICULAR,PRIMARIA
,CUNDINAMARCA,BOGOTÁ D.C. (CT),Domingo,07:00:00 PM,SAN JOSE DE BAVARIA E-11,URBANA,CASAS DE HABITACION,CONTUNDENTES,35,FEMENINO,UNION LIBRE,INDEPENDIENTE,SUPERIOR
,CAQUETÁ,MORELIA,Martes,12:30:00 PM,BARRIO ANGEL RICARDO ACOSTA,URBANA,CASAS DE HABITACION,CONTUNDENTES,35,FEMENINO,CASADO,AMA DE CASA,SECUNDARIA
12/09/2010 00:00:00,CUNDINAMARCA,BOGOTÁ D.C. (CT),Jueves,08:00:00 PM,CARACOLÍ E-19,URBANA,CASAS DE HABITACION,CONTUNDENTES,21,FEMENINO,SEPARADO,AMA DE CASA,TECNICO
11/03/2010 00:00:00,CUNDINAMARCA,BOGOTÁ D.C. (CT),Miércoles,12:00:00 PM,LA ALAMEDA E-19,URBANA,CASAS DE HABITACION,CONTUNDENTES,3,MASCULINO,SOLTERO,NO REPORTA,NO REPORTADO
01/01/2010 00:00:00,ARAUCA,ARAUCA (CT),Viernes,01:00:00 AM,PORVENIR,URBANA,VIAS PUBLICAS,NO REPORTADO,47,FEMENINO,UNION LIBRE,AMA DE CASA,PRIMARIA
01/01/2010 00:00:00,ARAUCA,ARAUCA (CT),Viernes,05:00:00 AM,SAN LUIS,URBANA,CASAS DE HABITACION,CONTUNDENTES,37,FEMENINO,SOLTERO,EMPLEADO PARTICULAR,SUPERIOR
01/01/2010 00:00:00,ARAUCA,ARAUCA (CT),Viernes,11:20:00 PM,EL BOSQUE,URBANA,VIAS PUBLICAS,CONTUNDENTES,30,FEMENINO,UNION LIBRE,INDEPENDIENTE,PRIMARIA
01/06/2010 00:00:00,NORTE DE SANTANDER,CÚCUTA (CT),Miércoles,10:50:00 AM,BARRIO OSPINA PEREZ,URBANA,VIAS PUBLICAS,CONTUNDENTES,31,MASCULINO,SEPARADO,NO REPORTA,PRIMARIA
,CUNDINAMARCA,BOGOTÁ D.C. (CT),Viernes,11:30:00 PM,PATIO BONITO I E-8,URBANA,CASAS DE HABITACION,CONTUNDENTES,30,FEMENINO,UNION LIBRE,EMPLEADO PARTICULAR,TECNICO
,BOYACÁ,MONIQUIRÁ,Martes,07:30:00 PM,BARRIO BARRANCAS,URBANA,CASAS DE HABITACION,CONTUNDENTES,23,FEMENINO,UNION LIBRE,INDEPENDIENTE,SECUNDARIA
,CUNDINAMARCA,BOGOTÁ D.C. (CT),Domingo,08:30:00 PM,ANTONIO GRANADO SUBA E-11,URBANA,CASAS DE HABITACION,CONTUNDENTES,61,MASCULINO,CASADO,EMPLEADO PARTICULAR,PRIMARIA
,CAQUETÁ,FLORENCIA (CT),Martes,01:00:00 PM,AVENIDA GAITAN,URBANA,VIAS PUBLICAS,CONTUNDENTES,30,FEMENINO,UNION LIBRE,INDEPENDIENTE,PRIMARIA
,CUNDINAMARCA,BOGOTÁ D.C. (CT),Sábado,12:30:00 AM,GRANADA E-5,URBANA,CASAS DE HABITACION,CORTOPUNZANTES,36,FEMENINO,CASADO,AMA DE CASA,SUPERIOR
04/02/2010 00:00:00,VALLE,TULUÁ,Viernes,10:00:00 PM,Simon Bolivar,URBANA,CASAS DE HABITACION,CONTUNDENTES,45,MASCULINO,SOLTERO,EMPLEADO PARTICULAR,PRIMARIA
