FECHA,DEPARTAMENTO,MuNICIPIO,DIA,HORA,BARRIO,ZONA,CLASE DE SITIO,ARMA EMPLEADA,EDAD,SEXO,ESTADO CIVIL,CLASE DE EMPLEADO,ESCOLARIDAD
,BOYACÁ,DUITAMA,Jueves,,SEVILLA,URBANA,VIAS PUBLICAS,CONTUNDENTES,41,FEMENINO,CASADO,AMA DE CASA,SECUNDARIA
01/02/2011 00:00:00,CALDAS,NEIRA,Domingo,11:20:00 AM,VDA PUEBLO RICO,RURAL,VIAS PUBLICAS,ARMA BLANCA,53,MASCULINO,UNION LIBRE,AGRICULTOR,NO REPORTADO
01/02/2011 00:00:00,CESAR,AGUACHICA,Domingo,12:00:00 AM,7 DE AGOSTO,URBANA,VIAS PUBLICAS,CONTUNDENTES,26,FEMENINO,UNION LIBRE,EMPLEADO PARTICULAR,SECUNDARIA
01/02/2011 00:00:00,GUAJIRA,RIOHACHA (CT),Domingo,10:30:00 AM,-,URBANA,CASAS DE HABITACION,CONTUNDENTES,25,MASCULINO,UNION LIBRE,INDEPENDIENTE,SECUNDARIA
01/02/2011 00:00:00,GUAJIRA,SAN JUAN DEL CESAR,Domingo,12:00:00 AM,CENTRO,URBANA,VIAS PUBLICAS,CONTUNDENTES,40,MASCULINO,SOLTERO,INDEPENDIENTE,SECUNDARIA
01/02/2011 00:00:00,HUILA,HOBO,Domingo,03:00:00 PM,CENTRO,URBANA,VIAS PUBLICAS,CONTUNDENTES,26,FEMENINO,UNION LIBRE,AMA DE CASA,SECUNDARIA
01/02/2011 00:00:00,HUILA,NEIVA (CT),Domingo,10:00:00 PM,-,URBANA,VIAS PUBLICAS,CONTUNDENTES,6,MASCULINO,SOLTERO,ESTUDIANTE,PRIMARIA
01/02/2011 00:00:00,HUILA,NEIVA (CT),Domingo,10:00:00 PM,-,URBANA,VIAS PUBLICAS,CONTUNDENTES,26,FEMENINO,UNION LIBRE,EMPLEADO PARTICULAR,SECUNDARIA
01/02/2011 00:00:00,HUILA,PITAL,Domingo,05:00:00 AM,VEREDA EL SOCORRO,RURAL,CASAS DE HABITACION,CONTUNDENTES,55,MASCULINO,CASADO,AGRICULTOR,PRIMARIA
01/02/2011 00:00:00,MAGDALENA,SANTA MARTA (CT),Domingo,01:00:00 AM,BASTIDAS,URBANA,VIAS PUBLICAS,CONTUNDENTES,30,FEMENINO,SOLTERO,EMPLEADO PARTICULAR,SECUNDARIA
01/02/2011 00:00:00,MAGDALENA,SANTA MARTA (CT),Domingo,09:00:00 AM,COLINAS DEL RIO,URBANA,VIAS PUBLICAS,CONTUNDENTES,21,MASCULINO,UNION LIBRE,AMA DE CASA,SECUNDARIA
01/02/2011 00:00:00,MAGDALENA,SANTA MARTA (CT),Domingo,04:00:00 PM,CENTRO,URBANA,OFICINAS,CONTUNDENTES,25,FEMENINO,UNION LIBRE,EMPLEADO PARTICULAR,SECUNDARIA
